image,label,class
/kaggle/input/cucumber-dataset/Original Image/Downy Mildew/Downy Mildew (71).jpg,3,Downy Mildew
/kaggle/input/cucumber-dataset/Original Image/Pythium Fruit Rot/Pythium Fruit Rot  (54).jpg,7,Pythium Fruit Rot
/kaggle/input/cucumber-dataset/Original Image/Gummy Stem Blight/Gummy Stem Blight (101).jpg,6,Gummy Stem Blight
/kaggle/input/cucumber-dataset/Original Image/Downy Mildew/Downy Mildew (12).jpg,3,Downy Mildew
/kaggle/input/cucumber-dataset/Original Image/Fresh Cucumber/Fresh Cucumber (21).jpg,4,Fresh Cucumber
/kaggle/input/cucumber-dataset/Original Image/Belly Rot/Belly Rot (29).jpg,2,Belly Rot
/kaggle/input/cucumber-dataset/Original Image/Gummy Stem Blight/Gummy Stem Blight (38).jpg,6,Gummy Stem Blight
/kaggle/input/cucumber-dataset/Original Image/Anthracnose/Anthracnose (52).jpg,0,Anthracnose
/kaggle/input/cucumber-dataset/Original Image/Fresh Leaf/Fresh Leaf (89).jpg,5,Fresh Leaf
/kaggle/input/cucumber-dataset/Original Image/Fresh Leaf/Fresh Leaf (3).jpg,5,Fresh Leaf
/kaggle/input/cucumber-dataset/Original Image/Pythium Fruit Rot/Pythium Fruit Rot  (32).jpg,7,Pythium Fruit Rot
/kaggle/input/cucumber-dataset/Original Image/Belly Rot/Belly Rot (94).jpg,2,Belly Rot
/kaggle/input/cucumber-dataset/Original Image/Bacterial Wilt/Bacterial Wilt (86).jpg,1,Bacterial Wilt
/kaggle/input/cucumber-dataset/Original Image/Fresh Leaf/Fresh Leaf (78).jpg,5,Fresh Leaf
/kaggle/input/cucumber-dataset/Original Image/Belly Rot/Belly Rot (41).jpg,2,Belly Rot
/kaggle/input/cucumber-dataset/Original Image/Bacterial Wilt/Bacterial Wilt (80).jpg,1,Bacterial Wilt
/kaggle/input/cucumber-dataset/Original Image/Belly Rot/Belly Rot (58).jpg,2,Belly Rot
/kaggle/input/cucumber-dataset/Original Image/Pythium Fruit Rot/Pythium Fruit Rot  (122).jpg,7,Pythium Fruit Rot
/kaggle/input/cucumber-dataset/Original Image/Gummy Stem Blight/Gummy Stem Blight (143).jpg,6,Gummy Stem Blight
/kaggle/input/cucumber-dataset/Original Image/Fresh Leaf/Fresh Leaf (118).jpg,5,Fresh Leaf
/kaggle/input/cucumber-dataset/Original Image/Gummy Stem Blight/Gummy Stem Blight (145).jpg,6,Gummy Stem Blight
/kaggle/input/cucumber-dataset/Original Image/Pythium Fruit Rot/Pythium Fruit Rot  (76).jpg,7,Pythium Fruit Rot
/kaggle/input/cucumber-dataset/Original Image/Pythium Fruit Rot/Pythium Fruit Rot  (124).jpg,7,Pythium Fruit Rot
/kaggle/input/cucumber-dataset/Original Image/Anthracnose/Anthracnose (94).jpg,0,Anthracnose
/kaggle/input/cucumber-dataset/Original Image/Downy Mildew/Downy Mildew (85).jpg,3,Downy Mildew
/kaggle/input/cucumber-dataset/Original Image/Anthracnose/Anthracnose (57).jpg,0,Anthracnose
/kaggle/input/cucumber-dataset/Original Image/Downy Mildew/Downy Mildew (101).jpg,3,Downy Mildew
/kaggle/input/cucumber-dataset/Original Image/Belly Rot/Belly Rot (127).jpg,2,Belly Rot
/kaggle/input/cucumber-dataset/Original Image/Fresh Cucumber/Fresh Cucumber (85).jpg,4,Fresh Cucumber
/kaggle/input/cucumber-dataset/Original Image/Pythium Fruit Rot/Pythium Fruit Rot  (57).jpg,7,Pythium Fruit Rot
/kaggle/input/cucumber-dataset/Original Image/Belly Rot/Belly Rot (120).jpg,2,Belly Rot
/kaggle/input/cucumber-dataset/Original Image/Downy Mildew/Downy Mildew (36).jpg,3,Downy Mildew
/kaggle/input/cucumber-dataset/Original Image/Anthracnose/Anthracnose (75).jpg,0,Anthracnose
/kaggle/input/cucumber-dataset/Original Image/Bacterial Wilt/Bacterial Wilt (114).jpg,1,Bacterial Wilt
/kaggle/input/cucumber-dataset/Original Image/Anthracnose/Anthracnose (114).jpg,0,Anthracnose
/kaggle/input/cucumber-dataset/Original Image/Anthracnose/Anthracnose (7).jpg,0,Anthracnose
/kaggle/input/cucumber-dataset/Original Image/Pythium Fruit Rot/Pythium Fruit Rot  (152)(1).jpg,7,Pythium Fruit Rot
/kaggle/input/cucumber-dataset/Original Image/Bacterial Wilt/Bacterial Wilt (131).jpg,1,Bacterial Wilt
/kaggle/input/cucumber-dataset/Original Image/Anthracnose/Anthracnose (60).jpg,0,Anthracnose
/kaggle/input/cucumber-dataset/Original Image/Anthracnose/Anthracnose (108).jpg,0,Anthracnose
/kaggle/input/cucumber-dataset/Original Image/Bacterial Wilt/Bacterial Wilt (144).jpg,1,Bacterial Wilt
/kaggle/input/cucumber-dataset/Original Image/Anthracnose/Anthracnose (79).jpg,0,Anthracnose
/kaggle/input/cucumber-dataset/Original Image/Fresh Cucumber/Fresh Cucumber (54).jpg,4,Fresh Cucumber
/kaggle/input/cucumber-dataset/Original Image/Fresh Leaf/Fresh Leaf (103).jpg,5,Fresh Leaf
/kaggle/input/cucumber-dataset/Original Image/Gummy Stem Blight/Gummy Stem Blight (63).jpg,6,Gummy Stem Blight
/kaggle/input/cucumber-dataset/Original Image/Fresh Leaf/Fresh Leaf (153).jpg,5,Fresh Leaf
/kaggle/input/cucumber-dataset/Original Image/Fresh Leaf/Fresh Leaf (159).jpg,5,Fresh Leaf
/kaggle/input/cucumber-dataset/Original Image/Fresh Leaf/Fresh Leaf (24).jpg,5,Fresh Leaf
/kaggle/input/cucumber-dataset/Original Image/Fresh Cucumber/Fresh Cucumber (28).jpg,4,Fresh Cucumber
/kaggle/input/cucumber-dataset/Original Image/Anthracnose/Anthracnose (103).jpg,0,Anthracnose
/kaggle/input/cucumber-dataset/Original Image/Bacterial Wilt/Bacterial Wilt (62).jpg,1,Bacterial Wilt
/kaggle/input/cucumber-dataset/Original Image/Downy Mildew/Downy Mildew (115).jpg,3,Downy Mildew
/kaggle/input/cucumber-dataset/Original Image/Downy Mildew/Downy Mildew (48).jpg,3,Downy Mildew
/kaggle/input/cucumber-dataset/Original Image/Pythium Fruit Rot/Pythium Fruit Rot  (136).jpg,7,Pythium Fruit Rot
/kaggle/input/cucumber-dataset/Original Image/Fresh Leaf/Fresh Leaf (102).jpg,5,Fresh Leaf
/kaggle/input/cucumber-dataset/Original Image/Fresh Leaf/Fresh Leaf (93).jpg,5,Fresh Leaf
/kaggle/input/cucumber-dataset/Original Image/Bacterial Wilt/Bacterial Wilt (83).jpg,1,Bacterial Wilt
/kaggle/input/cucumber-dataset/Original Image/Downy Mildew/Downy Mildew (139).jpg,3,Downy Mildew
/kaggle/input/cucumber-dataset/Original Image/Fresh Leaf/Fresh Leaf (147).jpg,5,Fresh Leaf
/kaggle/input/cucumber-dataset/Original Image/Belly Rot/Belly Rot (55).jpg,2,Belly Rot
/kaggle/input/cucumber-dataset/Original Image/Belly Rot/Belly Rot (151).jpg,2,Belly Rot
/kaggle/input/cucumber-dataset/Original Image/Gummy Stem Blight/Gummy Stem Blight (119).jpg,6,Gummy Stem Blight
/kaggle/input/cucumber-dataset/Original Image/Anthracnose/Anthracnose (55).jpg,0,Anthracnose
/kaggle/input/cucumber-dataset/Original Image/Anthracnose/Anthracnose (145).jpg,0,Anthracnose
/kaggle/input/cucumber-dataset/Original Image/Gummy Stem Blight/Gummy Stem Blight (65).jpg,6,Gummy Stem Blight
/kaggle/input/cucumber-dataset/Original Image/Fresh Leaf/Fresh Leaf (70).jpg,5,Fresh Leaf
/kaggle/input/cucumber-dataset/Original Image/Downy Mildew/Downy Mildew (60).jpg,3,Downy Mildew
/kaggle/input/cucumber-dataset/Original Image/Anthracnose/Anthracnose (95).jpg,0,Anthracnose
/kaggle/input/cucumber-dataset/Original Image/Pythium Fruit Rot/Pythium Fruit Rot  (43).jpg,7,Pythium Fruit Rot
/kaggle/input/cucumber-dataset/Original Image/Fresh Leaf/Fresh Leaf (117).jpg,5,Fresh Leaf
/kaggle/input/cucumber-dataset/Original Image/Bacterial Wilt/Bacterial Wilt (151).jpg,1,Bacterial Wilt
/kaggle/input/cucumber-dataset/Original Image/Gummy Stem Blight/Gummy Stem Blight (148).jpg,6,Gummy Stem Blight
/kaggle/input/cucumber-dataset/Original Image/Fresh Cucumber/Fresh Cucumber (151).jpg,4,Fresh Cucumber
/kaggle/input/cucumber-dataset/Original Image/Bacterial Wilt/Bacterial Wilt (141).jpg,1,Bacterial Wilt
/kaggle/input/cucumber-dataset/Original Image/Fresh Leaf/Fresh Leaf (2).jpg,5,Fresh Leaf
/kaggle/input/cucumber-dataset/Original Image/Fresh Cucumber/Fresh Cucumber (30).jpg,4,Fresh Cucumber
/kaggle/input/cucumber-dataset/Original Image/Pythium Fruit Rot/Pythium Fruit Rot  (34).jpg,7,Pythium Fruit Rot
/kaggle/input/cucumber-dataset/Original Image/Pythium Fruit Rot/Pythium Fruit Rot  (100).jpg,7,Pythium Fruit Rot
/kaggle/input/cucumber-dataset/Original Image/Fresh Cucumber/Fresh Cucumber (42).jpg,4,Fresh Cucumber
/kaggle/input/cucumber-dataset/Original Image/Fresh Leaf/Fresh Leaf (48).jpg,5,Fresh Leaf
/kaggle/input/cucumber-dataset/Original Image/Fresh Cucumber/Fresh Cucumber (44).jpg,4,Fresh Cucumber
/kaggle/input/cucumber-dataset/Original Image/Bacterial Wilt/Bacterial Wilt (133).jpg,1,Bacterial Wilt
/kaggle/input/cucumber-dataset/Original Image/Fresh Cucumber/Fresh Cucumber (79).jpg,4,Fresh Cucumber
/kaggle/input/cucumber-dataset/Original Image/Pythium Fruit Rot/Pythium Fruit Rot  (83).jpg,7,Pythium Fruit Rot
/kaggle/input/cucumber-dataset/Original Image/Fresh Cucumber/Fresh Cucumber (132).jpg,4,Fresh Cucumber
/kaggle/input/cucumber-dataset/Original Image/Belly Rot/Belly Rot (38).jpg,2,Belly Rot
/kaggle/input/cucumber-dataset/Original Image/Fresh Cucumber/Fresh Cucumber (29).jpg,4,Fresh Cucumber
/kaggle/input/cucumber-dataset/Original Image/Anthracnose/Anthracnose (66).jpg,0,Anthracnose
/kaggle/input/cucumber-dataset/Original Image/Gummy Stem Blight/Gummy Stem Blight (155).jpg,6,Gummy Stem Blight
/kaggle/input/cucumber-dataset/Original Image/Bacterial Wilt/Bacterial Wilt (93).jpg,1,Bacterial Wilt
/kaggle/input/cucumber-dataset/Original Image/Downy Mildew/Downy Mildew (76).jpg,3,Downy Mildew
/kaggle/input/cucumber-dataset/Original Image/Fresh Cucumber/Fresh Cucumber (62).jpg,4,Fresh Cucumber
/kaggle/input/cucumber-dataset/Original Image/Pythium Fruit Rot/Pythium Fruit Rot  (97).jpg,7,Pythium Fruit Rot
/kaggle/input/cucumber-dataset/Original Image/Bacterial Wilt/Bacterial Wilt (107).jpg,1,Bacterial Wilt
/kaggle/input/cucumber-dataset/Original Image/Bacterial Wilt/Bacterial Wilt (152).jpg,1,Bacterial Wilt
/kaggle/input/cucumber-dataset/Original Image/Gummy Stem Blight/Gummy Stem Blight (109).jpg,6,Gummy Stem Blight
/kaggle/input/cucumber-dataset/Original Image/Fresh Cucumber/Fresh Cucumber (11).jpg,4,Fresh Cucumber
/kaggle/input/cucumber-dataset/Original Image/Belly Rot/Belly Rot (68).jpg,2,Belly Rot
/kaggle/input/cucumber-dataset/Original Image/Pythium Fruit Rot/Pythium Fruit Rot  (157).jpg,7,Pythium Fruit Rot
/kaggle/input/cucumber-dataset/Original Image/Downy Mildew/Downy Mildew (51).jpg,3,Downy Mildew
/kaggle/input/cucumber-dataset/Original Image/Downy Mildew/Downy Mildew (1).jpg,3,Downy Mildew
/kaggle/input/cucumber-dataset/Original Image/Gummy Stem Blight/Gummy Stem Blight (134).jpg,6,Gummy Stem Blight
/kaggle/input/cucumber-dataset/Original Image/Belly Rot/Belly Rot (3).jpg,2,Belly Rot
/kaggle/input/cucumber-dataset/Original Image/Anthracnose/Anthracnose (129).jpg,0,Anthracnose
/kaggle/input/cucumber-dataset/Original Image/Gummy Stem Blight/Gummy Stem Blight (105).jpg,6,Gummy Stem Blight
/kaggle/input/cucumber-dataset/Original Image/Belly Rot/Belly Rot (60).jpg,2,Belly Rot
/kaggle/input/cucumber-dataset/Original Image/Fresh Cucumber/Fresh Cucumber (81).jpg,4,Fresh Cucumber
/kaggle/input/cucumber-dataset/Original Image/Fresh Cucumber/Fresh Cucumber (158).jpg,4,Fresh Cucumber
/kaggle/input/cucumber-dataset/Original Image/Fresh Cucumber/Fresh Cucumber (50).jpg,4,Fresh Cucumber
/kaggle/input/cucumber-dataset/Original Image/Anthracnose/Anthracnose (120).jpg,0,Anthracnose
/kaggle/input/cucumber-dataset/Original Image/Pythium Fruit Rot/Pythium Fruit Rot  (126).jpg,7,Pythium Fruit Rot
/kaggle/input/cucumber-dataset/Original Image/Pythium Fruit Rot/Pythium Fruit Rot  (33).jpg,7,Pythium Fruit Rot
/kaggle/input/cucumber-dataset/Original Image/Bacterial Wilt/Bacterial Wilt (51).jpg,1,Bacterial Wilt
/kaggle/input/cucumber-dataset/Original Image/Belly Rot/Belly Rot (140).jpg,2,Belly Rot
/kaggle/input/cucumber-dataset/Original Image/Gummy Stem Blight/Gummy Stem Blight (30).jpg,6,Gummy Stem Blight
/kaggle/input/cucumber-dataset/Original Image/Gummy Stem Blight/Gummy Stem Blight (67).jpg,6,Gummy Stem Blight
/kaggle/input/cucumber-dataset/Original Image/Gummy Stem Blight/Gummy Stem Blight (121).jpg,6,Gummy Stem Blight
/kaggle/input/cucumber-dataset/Original Image/Fresh Leaf/Fresh Leaf (36).jpg,5,Fresh Leaf
/kaggle/input/cucumber-dataset/Original Image/Gummy Stem Blight/Gummy Stem Blight (92).jpg,6,Gummy Stem Blight
/kaggle/input/cucumber-dataset/Original Image/Gummy Stem Blight/Gummy Stem Blight (19).jpg,6,Gummy Stem Blight
/kaggle/input/cucumber-dataset/Original Image/Downy Mildew/Downy Mildew (142).jpg,3,Downy Mildew
/kaggle/input/cucumber-dataset/Original Image/Pythium Fruit Rot/Pythium Fruit Rot  (89).jpg,7,Pythium Fruit Rot
/kaggle/input/cucumber-dataset/Original Image/Gummy Stem Blight/Gummy Stem Blight (151).jpg,6,Gummy Stem Blight
/kaggle/input/cucumber-dataset/Original Image/Fresh Cucumber/Fresh Cucumber (64).jpg,4,Fresh Cucumber
/kaggle/input/cucumber-dataset/Original Image/Downy Mildew/Downy Mildew (49).jpg,3,Downy Mildew
/kaggle/input/cucumber-dataset/Original Image/Anthracnose/Anthracnose (36).jpg,0,Anthracnose
/kaggle/input/cucumber-dataset/Original Image/Anthracnose/Anthracnose (96).jpg,0,Anthracnose
/kaggle/input/cucumber-dataset/Original Image/Pythium Fruit Rot/Pythium Fruit Rot  (7).jpg,7,Pythium Fruit Rot
/kaggle/input/cucumber-dataset/Original Image/Fresh Leaf/Fresh Leaf (135).jpg,5,Fresh Leaf
/kaggle/input/cucumber-dataset/Original Image/Downy Mildew/Downy Mildew (109).jpg,3,Downy Mildew
/kaggle/input/cucumber-dataset/Original Image/Belly Rot/Belly Rot (87).jpg,2,Belly Rot
/kaggle/input/cucumber-dataset/Original Image/Pythium Fruit Rot/Pythium Fruit Rot  (142).jpg,7,Pythium Fruit Rot
/kaggle/input/cucumber-dataset/Original Image/Belly Rot/Belly Rot (109).jpg,2,Belly Rot
/kaggle/input/cucumber-dataset/Original Image/Belly Rot/Belly Rot (42).jpg,2,Belly Rot
/kaggle/input/cucumber-dataset/Original Image/Belly Rot/Belly Rot (159).jpg,2,Belly Rot
/kaggle/input/cucumber-dataset/Original Image/Bacterial Wilt/Bacterial Wilt (52).jpg,1,Bacterial Wilt
/kaggle/input/cucumber-dataset/Original Image/Fresh Leaf/Fresh Leaf (32).jpg,5,Fresh Leaf
/kaggle/input/cucumber-dataset/Original Image/Downy Mildew/Downy Mildew (39).jpg,3,Downy Mildew
/kaggle/input/cucumber-dataset/Original Image/Anthracnose/Anthracnose (81).jpg,0,Anthracnose
/kaggle/input/cucumber-dataset/Original Image/Gummy Stem Blight/Gummy Stem Blight (69).jpg,6,Gummy Stem Blight
/kaggle/input/cucumber-dataset/Original Image/Fresh Leaf/Fresh Leaf (13).jpg,5,Fresh Leaf
/kaggle/input/cucumber-dataset/Original Image/Fresh Leaf/Fresh Leaf (58).jpg,5,Fresh Leaf
/kaggle/input/cucumber-dataset/Original Image/Bacterial Wilt/Bacterial Wilt (74).jpg,1,Bacterial Wilt
/kaggle/input/cucumber-dataset/Original Image/Gummy Stem Blight/Gummy Stem Blight (123).jpg,6,Gummy Stem Blight
/kaggle/input/cucumber-dataset/Original Image/Bacterial Wilt/Bacterial Wilt (68).jpg,1,Bacterial Wilt
/kaggle/input/cucumber-dataset/Original Image/Downy Mildew/Downy Mildew (37).jpg,3,Downy Mildew
/kaggle/input/cucumber-dataset/Original Image/Bacterial Wilt/Bacterial Wilt (10).jpg,1,Bacterial Wilt
/kaggle/input/cucumber-dataset/Original Image/Belly Rot/Belly Rot (145).jpg,2,Belly Rot
/kaggle/input/cucumber-dataset/Original Image/Fresh Leaf/Fresh Leaf (96).jpg,5,Fresh Leaf
/kaggle/input/cucumber-dataset/Original Image/Bacterial Wilt/Bacterial Wilt (105).jpg,1,Bacterial Wilt
/kaggle/input/cucumber-dataset/Original Image/Gummy Stem Blight/Gummy Stem Blight (27).jpg,6,Gummy Stem Blight
/kaggle/input/cucumber-dataset/Original Image/Fresh Cucumber/Fresh Cucumber (23).jpg,4,Fresh Cucumber
/kaggle/input/cucumber-dataset/Original Image/Downy Mildew/Downy Mildew (81).jpg,3,Downy Mildew
/kaggle/input/cucumber-dataset/Original Image/Fresh Leaf/Fresh Leaf (62).jpg,5,Fresh Leaf
/kaggle/input/cucumber-dataset/Original Image/Fresh Leaf/Fresh Leaf (106).jpg,5,Fresh Leaf
/kaggle/input/cucumber-dataset/Original Image/Fresh Cucumber/Fresh Cucumber (67).jpg,4,Fresh Cucumber
/kaggle/input/cucumber-dataset/Original Image/Pythium Fruit Rot/Pythium Fruit Rot  (121).jpg,7,Pythium Fruit Rot
/kaggle/input/cucumber-dataset/Original Image/Pythium Fruit Rot/Pythium Fruit Rot  (107).jpg,7,Pythium Fruit Rot
/kaggle/input/cucumber-dataset/Original Image/Pythium Fruit Rot/Pythium Fruit Rot  (78).jpg,7,Pythium Fruit Rot
/kaggle/input/cucumber-dataset/Original Image/Belly Rot/Belly Rot (16).jpg,2,Belly Rot
/kaggle/input/cucumber-dataset/Original Image/Pythium Fruit Rot/Pythium Fruit Rot  (146)(1).jpg,7,Pythium Fruit Rot
/kaggle/input/cucumber-dataset/Original Image/Downy Mildew/Downy Mildew (18).jpg,3,Downy Mildew
/kaggle/input/cucumber-dataset/Original Image/Pythium Fruit Rot/Pythium Fruit Rot  (37).jpg,7,Pythium Fruit Rot
/kaggle/input/cucumber-dataset/Original Image/Belly Rot/Belly Rot (20).jpg,2,Belly Rot
/kaggle/input/cucumber-dataset/Original Image/Pythium Fruit Rot/Pythium Fruit Rot  (80).jpg,7,Pythium Fruit Rot
/kaggle/input/cucumber-dataset/Original Image/Bacterial Wilt/Bacterial Wilt (1).jpg,1,Bacterial Wilt
/kaggle/input/cucumber-dataset/Original Image/Pythium Fruit Rot/Pythium Fruit Rot  (123).jpg,7,Pythium Fruit Rot
/kaggle/input/cucumber-dataset/Original Image/Anthracnose/Anthracnose (151).jpg,0,Anthracnose
/kaggle/input/cucumber-dataset/Original Image/Fresh Cucumber/Fresh Cucumber (127).jpg,4,Fresh Cucumber
/kaggle/input/cucumber-dataset/Original Image/Fresh Leaf/Fresh Leaf (9).jpg,5,Fresh Leaf
/kaggle/input/cucumber-dataset/Original Image/Belly Rot/Belly Rot (22).jpg,2,Belly Rot
/kaggle/input/cucumber-dataset/Original Image/Pythium Fruit Rot/Pythium Fruit Rot  (27).jpg,7,Pythium Fruit Rot
/kaggle/input/cucumber-dataset/Original Image/Fresh Cucumber/Fresh Cucumber (13).jpg,4,Fresh Cucumber
/kaggle/input/cucumber-dataset/Original Image/Belly Rot/Belly Rot (150).jpg,2,Belly Rot
/kaggle/input/cucumber-dataset/Original Image/Fresh Leaf/Fresh Leaf (126).jpg,5,Fresh Leaf
/kaggle/input/cucumber-dataset/Original Image/Anthracnose/Anthracnose (15).jpg,0,Anthracnose
/kaggle/input/cucumber-dataset/Original Image/Fresh Cucumber/Fresh Cucumber (147).jpg,4,Fresh Cucumber
/kaggle/input/cucumber-dataset/Original Image/Downy Mildew/Downy Mildew (88).jpg,3,Downy Mildew
/kaggle/input/cucumber-dataset/Original Image/Pythium Fruit Rot/Pythium Fruit Rot  (153).jpg,7,Pythium Fruit Rot
/kaggle/input/cucumber-dataset/Original Image/Downy Mildew/Downy Mildew (58).jpg,3,Downy Mildew
/kaggle/input/cucumber-dataset/Original Image/Gummy Stem Blight/Gummy Stem Blight (131).jpg,6,Gummy Stem Blight
/kaggle/input/cucumber-dataset/Original Image/Fresh Cucumber/Fresh Cucumber (1).jpg,4,Fresh Cucumber
/kaggle/input/cucumber-dataset/Original Image/Anthracnose/Anthracnose (73).jpg,0,Anthracnose
/kaggle/input/cucumber-dataset/Original Image/Fresh Leaf/Fresh Leaf (84).jpg,5,Fresh Leaf
/kaggle/input/cucumber-dataset/Original Image/Bacterial Wilt/Bacterial Wilt (90).jpg,1,Bacterial Wilt
/kaggle/input/cucumber-dataset/Original Image/Anthracnose/Anthracnose (49).jpg,0,Anthracnose
/kaggle/input/cucumber-dataset/Original Image/Downy Mildew/Downy Mildew (21).jpg,3,Downy Mildew
/kaggle/input/cucumber-dataset/Original Image/Fresh Leaf/Fresh Leaf (26).jpg,5,Fresh Leaf
/kaggle/input/cucumber-dataset/Original Image/Bacterial Wilt/Bacterial Wilt (72).jpg,1,Bacterial Wilt
/kaggle/input/cucumber-dataset/Original Image/Pythium Fruit Rot/Pythium Fruit Rot  (1).jpg,7,Pythium Fruit Rot
/kaggle/input/cucumber-dataset/Original Image/Fresh Leaf/Fresh Leaf (107).jpg,5,Fresh Leaf
/kaggle/input/cucumber-dataset/Original Image/Belly Rot/Belly Rot (78).jpg,2,Belly Rot
/kaggle/input/cucumber-dataset/Original Image/Fresh Cucumber/Fresh Cucumber (40).jpg,4,Fresh Cucumber
/kaggle/input/cucumber-dataset/Original Image/Pythium Fruit Rot/Pythium Fruit Rot  (120).jpg,7,Pythium Fruit Rot
/kaggle/input/cucumber-dataset/Original Image/Fresh Leaf/Fresh Leaf (104).jpg,5,Fresh Leaf
/kaggle/input/cucumber-dataset/Original Image/Fresh Leaf/Fresh Leaf (122).jpg,5,Fresh Leaf
/kaggle/input/cucumber-dataset/Original Image/Belly Rot/Belly Rot (62).jpg,2,Belly Rot
/kaggle/input/cucumber-dataset/Original Image/Anthracnose/Anthracnose (88).jpg,0,Anthracnose
/kaggle/input/cucumber-dataset/Original Image/Pythium Fruit Rot/Pythium Fruit Rot  (63).jpg,7,Pythium Fruit Rot
/kaggle/input/cucumber-dataset/Original Image/Belly Rot/Belly Rot (115).jpg,2,Belly Rot
/kaggle/input/cucumber-dataset/Original Image/Bacterial Wilt/Bacterial Wilt (19).jpg,1,Bacterial Wilt
/kaggle/input/cucumber-dataset/Original Image/Fresh Leaf/Fresh Leaf (23).jpg,5,Fresh Leaf
/kaggle/input/cucumber-dataset/Original Image/Belly Rot/Belly Rot (135).jpg,2,Belly Rot
/kaggle/input/cucumber-dataset/Original Image/Pythium Fruit Rot/Pythium Fruit Rot  (73).jpg,7,Pythium Fruit Rot
/kaggle/input/cucumber-dataset/Original Image/Fresh Leaf/Fresh Leaf (109).jpg,5,Fresh Leaf
/kaggle/input/cucumber-dataset/Original Image/Fresh Leaf/Fresh Leaf (150).jpg,5,Fresh Leaf
/kaggle/input/cucumber-dataset/Original Image/Fresh Cucumber/Fresh Cucumber (52).jpg,4,Fresh Cucumber
/kaggle/input/cucumber-dataset/Original Image/Gummy Stem Blight/Gummy Stem Blight (62).jpg,6,Gummy Stem Blight
/kaggle/input/cucumber-dataset/Original Image/Anthracnose/Anthracnose (90).jpg,0,Anthracnose
/kaggle/input/cucumber-dataset/Original Image/Gummy Stem Blight/Gummy Stem Blight (141).jpg,6,Gummy Stem Blight
/kaggle/input/cucumber-dataset/Original Image/Pythium Fruit Rot/Pythium Fruit Rot  (26).jpg,7,Pythium Fruit Rot
/kaggle/input/cucumber-dataset/Original Image/Bacterial Wilt/Bacterial Wilt (88).jpg,1,Bacterial Wilt
/kaggle/input/cucumber-dataset/Original Image/Belly Rot/Belly Rot (1).jpg,2,Belly Rot
/kaggle/input/cucumber-dataset/Original Image/Pythium Fruit Rot/Pythium Fruit Rot  (95).jpg,7,Pythium Fruit Rot
/kaggle/input/cucumber-dataset/Original Image/Anthracnose/Anthracnose (128).jpg,0,Anthracnose
/kaggle/input/cucumber-dataset/Original Image/Fresh Cucumber/Fresh Cucumber (129).jpg,4,Fresh Cucumber
/kaggle/input/cucumber-dataset/Original Image/Gummy Stem Blight/Gummy Stem Blight (116).jpg,6,Gummy Stem Blight
/kaggle/input/cucumber-dataset/Original Image/Belly Rot/Belly Rot (65).jpg,2,Belly Rot
/kaggle/input/cucumber-dataset/Original Image/Anthracnose/Anthracnose (126).jpg,0,Anthracnose
/kaggle/input/cucumber-dataset/Original Image/Downy Mildew/Downy Mildew (31).jpg,3,Downy Mildew
/kaggle/input/cucumber-dataset/Original Image/Fresh Cucumber/Fresh Cucumber (134).jpg,4,Fresh Cucumber
/kaggle/input/cucumber-dataset/Original Image/Bacterial Wilt/Bacterial Wilt (23).jpg,1,Bacterial Wilt
/kaggle/input/cucumber-dataset/Original Image/Gummy Stem Blight/Gummy Stem Blight (45).jpg,6,Gummy Stem Blight
/kaggle/input/cucumber-dataset/Original Image/Belly Rot/Belly Rot (10).jpg,2,Belly Rot
/kaggle/input/cucumber-dataset/Original Image/Anthracnose/Anthracnose (144).jpg,0,Anthracnose
/kaggle/input/cucumber-dataset/Original Image/Anthracnose/Anthracnose (3).jpg,0,Anthracnose
/kaggle/input/cucumber-dataset/Original Image/Pythium Fruit Rot/Pythium Fruit Rot  (116).jpg,7,Pythium Fruit Rot
/kaggle/input/cucumber-dataset/Original Image/Downy Mildew/Downy Mildew (56).jpg,3,Downy Mildew
/kaggle/input/cucumber-dataset/Original Image/Belly Rot/Belly Rot (153).jpg,2,Belly Rot
/kaggle/input/cucumber-dataset/Original Image/Gummy Stem Blight/Gummy Stem Blight (44).jpg,6,Gummy Stem Blight
/kaggle/input/cucumber-dataset/Original Image/Anthracnose/Anthracnose (143).jpg,0,Anthracnose
/kaggle/input/cucumber-dataset/Original Image/Downy Mildew/Downy Mildew (94).jpg,3,Downy Mildew
/kaggle/input/cucumber-dataset/Original Image/Fresh Leaf/Fresh Leaf (112).jpg,5,Fresh Leaf
/kaggle/input/cucumber-dataset/Original Image/Pythium Fruit Rot/Pythium Fruit Rot  (155).jpg,7,Pythium Fruit Rot
/kaggle/input/cucumber-dataset/Original Image/Belly Rot/Belly Rot (7).jpg,2,Belly Rot
/kaggle/input/cucumber-dataset/Original Image/Bacterial Wilt/Bacterial Wilt (25).jpg,1,Bacterial Wilt
/kaggle/input/cucumber-dataset/Original Image/Fresh Leaf/Fresh Leaf (90).jpg,5,Fresh Leaf
/kaggle/input/cucumber-dataset/Original Image/Fresh Cucumber/Fresh Cucumber (16).jpg,4,Fresh Cucumber
/kaggle/input/cucumber-dataset/Original Image/Fresh Cucumber/Fresh Cucumber (135).jpg,4,Fresh Cucumber
/kaggle/input/cucumber-dataset/Original Image/Belly Rot/Belly Rot (37).jpg,2,Belly Rot
/kaggle/input/cucumber-dataset/Original Image/Fresh Cucumber/Fresh Cucumber (130).jpg,4,Fresh Cucumber
